City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Yellowknife,CA,2022-05-10 00:34:00,62.456,-114.3525,27.12,63,100,20.71
68,Avarua,CK,2022-05-10 00:36:10,-21.2078,-159.775,86.05,74,75,2.3
69,Chernyshevskiy,RU,2022-05-10 00:36:12,63.0128,112.4714,27.99,64,32,5.99
70,Bowen,AU,2022-05-10 00:34:51,-20.0167,148.2333,77.68,82,100,19.39
71,Ponta Do Sol,PT,2022-05-10 00:36:13,32.6667,-17.1,74.03,33,0,6.29
72,Bridlington,GB,2022-05-10 00:36:14,54.0831,-0.1919,61.9,77,100,19.55
73,Deshnok,IN,2022-05-10 00:36:15,27.7986,73.3447,83.88,24,0,3.02
74,Atuona,PF,2022-05-10 00:36:15,-9.8,-139.0333,78.78,76,26,20.2
75,Biharamulo,TZ,2022-05-10 00:36:16,-2.6319,31.3089,63.34,78,98,1.79
76,Choya,RU,2022-05-10 00:36:17,52.0108,86.5467,44.44,50,0,2.42
77,Punta Arenas,CL,2022-05-10 00:36:18,-53.15,-70.9167,41.11,87,20,5.75
78,Shubarkuduk,KZ,2022-05-10 00:36:18,49.1447,56.4872,49.57,92,100,16.49
79,Coihaique,CL,2022-05-10 00:32:34,-45.5752,-72.0662,45.21,87,75,0.0
80,Nome,US,2022-05-10 00:36:21,64.5011,-165.4064,35.17,75,40,24.16
81,Baykit,RU,2022-05-10 00:32:23,61.67,96.37,35.46,72,44,3.85
82,Constitucion,CL,2022-05-10 00:32:01,-35.3333,-72.4167,54.91,93,100,8.19
83,Khatanga,RU,2022-05-10 00:36:22,71.9667,102.5,33.58,99,100,17.18
84,Kuruman,ZA,2022-05-10 00:36:23,-27.4524,23.4325,51.48,51,0,5.01
85,Henties Bay,NA,2022-05-10 00:36:24,-22.116,14.2845,61.88,67,0,4.21
86,Mackay,AU,2022-05-10 00:32:24,-21.15,149.2,75.18,94,75,14.97
87,Kasaragod,IN,2022-05-10 00:36:24,12.5,75.0,82.69,81,100,10.4
88,Quatre Cocos,MU,2022-05-10 00:36:25,-20.2078,57.7625,73.51,81,43,8.5
89,North Bend,US,2022-05-10 00:36:26,43.4065,-124.2243,49.86,95,100,4.61
90,Hobart,AU,2022-05-10 00:37:26,-42.8794,147.3294,57.25,73,20,8.05
91,Berlevag,NO,2022-05-10 00:37:27,70.8578,29.0864,35.4,95,100,2.71
92,Nizhniy Ufaley,RU,2022-05-10 00:37:28,55.9153,59.9842,47.84,49,99,10.16
93,Ambon,ID,2022-05-10 00:37:28,-3.6954,128.1814,86.14,70,20,3.44
94,Thompson,CA,2022-05-10 00:37:29,55.7435,-97.8558,62.76,51,75,5.75
95,Hilo,US,2022-05-10 00:36:44,19.7297,-155.09,82.27,59,20,10.0
96,Samarai,PG,2022-05-10 00:37:29,-10.6167,150.6667,84.18,75,84,14.34
97,Ugoofaaru,MV,2022-05-10 00:37:30,5.6667,73.0,84.72,70,100,19.44
98,Cape Town,ZA,2022-05-10 00:37:30,-33.9258,18.4232,53.11,93,0,5.75
99,Talnakh,RU,2022-05-10 00:33:15,69.4865,88.3972,36.21,99,100,12.26
100,Uyuni,BO,2022-05-10 00:37:31,-20.4597,-66.825,43.29,16,0,11.41
101,La Cruz,MX,2022-05-10 00:37:32,23.9167,-106.9,78.31,63,0,5.46
102,Takoradi,GH,2022-05-10 00:37:32,4.8845,-1.7554,79.66,85,100,5.73
103,Bathsheba,BB,2022-05-10 00:37:33,13.2167,-59.5167,81.21,74,40,11.5
104,Tasiilaq,GL,2022-05-10 00:37:33,65.6145,-37.6368,33.96,68,97,2.1
105,Guerrero Negro,MX,2022-05-10 00:35:10,27.9769,-114.0611,61.84,64,0,23.02
106,Qaanaaq,GL,2022-05-10 00:37:34,77.484,-69.3632,16.14,62,0,7.45
107,Parabel,RU,2022-05-10 00:37:34,58.6978,81.4825,44.94,51,64,8.05
108,Onalaska,US,2022-05-10 00:37:35,43.8844,-91.2351,84.06,48,100,16.11
109,Zhangye,CN,2022-05-10 00:37:36,38.9342,100.4517,58.62,31,100,2.1
110,Hermanus,ZA,2022-05-10 00:37:36,-34.4187,19.2345,56.53,62,80,3.44
111,Butaritari,KI,2022-05-10 00:34:42,3.0707,172.7902,81.57,74,12,19.39
112,Saint George,US,2022-05-10 00:37:37,37.1041,-113.5841,70.95,11,0,8.05
113,Hovd,MN,2022-05-10 00:37:38,48.0056,91.6419,37.53,28,0,3.53
114,Faanui,PF,2022-05-10 00:37:38,-16.4833,-151.75,82.06,72,2,13.56
115,Longyearbyen,SJ,2022-05-10 00:34:50,78.2186,15.6401,19.24,63,75,12.66
116,Pauini,BR,2022-05-10 00:37:39,-7.7136,-66.9764,73.4,97,73,2.28
117,Busayra,JO,2022-05-10 00:37:39,30.7376,35.6078,58.14,43,0,4.7
118,Nanortalik,GL,2022-05-10 00:37:40,60.1432,-45.2371,34.75,88,34,3.33
119,Aranda De Duero,ES,2022-05-10 00:37:40,41.6704,-3.6892,54.32,55,29,6.42
120,Mount Isa,AU,2022-05-10 00:37:41,-20.7333,139.5,71.37,78,100,9.22
121,Broome,US,2022-05-10 00:37:41,42.2506,-75.833,66.58,20,0,8.05
122,Beloha,MG,2022-05-10 00:37:42,-25.1667,45.05,65.44,96,3,6.53
123,Tromso,NO,2022-05-10 00:33:10,69.6496,18.957,37.42,93,75,12.66
124,Klaksvik,FO,2022-05-10 00:37:43,62.2266,-6.589,47.32,99,100,9.46
125,Zorritos,PE,2022-05-10 00:37:43,-3.6805,-80.6782,75.49,80,35,7.85
126,Zhigansk,RU,2022-05-10 00:37:44,66.7697,123.3711,21.36,76,38,8.55
127,Barrow,US,2022-05-10 00:37:33,71.2906,-156.7887,30.22,86,100,13.8
128,Mahebourg,MU,2022-05-10 00:37:45,-20.4081,57.7,73.69,94,40,3.44
129,Victoria,HK,2022-05-10 00:37:21,22.2855,114.1577,78.96,90,100,10.0
130,Brownsville,US,2022-05-10 00:36:37,25.9018,-97.4975,86.09,79,100,20.71
