City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
259,Salaga,GH,81.45,broken clouds,8.5508,-0.5188,Bore Nada Guest House
260,Buala,SB,85.03,broken clouds,-8.145,159.5921,Maringe Lagoon Lodge
263,Los Algarrobos,PA,78.8,overcast clouds,8.5,-82.4333,Waterfall Hostel
269,Kavaratti,IN,80.89,light rain,10.5669,72.642,Hotels in Lakshadweep Islands
272,Mehran,IR,79.88,clear sky,33.1222,46.1646,بوتیک زنانه بهار
273,Balikpapan,ID,79.79,few clouds,-1.2675,116.8289,Swiss-Belhotel Balikpapan
275,Upata,VE,80.19,overcast clouds,8.0086,-62.3989,Posada Villa Nela
279,Siddipet,IN,83.43,broken clouds,18.1,78.85,Roads And Buildings (R&B) Guest House
285,Cabedelo,BR,77.67,scattered clouds,-6.9811,-34.8339,Hotel Pigalle
287,Sabang,ID,83.19,broken clouds,5.8933,95.3214,Hotel Citra
289,Basco,PH,82.13,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
290,Thaton,MM,80.82,overcast clouds,16.9206,97.3714,"Shwe Pyi Soe Guest House, Thaton"
291,Maningrida,AU,81.99,few clouds,-12.0667,134.2667,Dhukurrdji Lodge
295,Touros,BR,78.89,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
297,San Jose,US,88.52,few clouds,37.3394,-121.895,The Westin San Jose
299,Japura,ID,77.07,few clouds,-0.3167,102.35,Rumah mbah Jamah
304,Cockburn Town,TC,79.3,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
305,Barra Do Corda,BR,75.4,broken clouds,-5.5,-45.25,Belchior Palace Hotel
306,Abu Dhabi,AE,76.96,clear sky,24.4667,54.3667,Beach Rotana
311,Sao Filipe,CV,75.79,overcast clouds,14.8961,-24.4956,Hotel Xaguate
316,Conceicao Do Araguaia,BR,76.68,overcast clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
317,Kendari,ID,80.2,broken clouds,-3.945,122.4989,Hotel Wixel
322,Altagracia De Orituco,VE,77.2,overcast clouds,9.8601,-66.3814,Posada Quinta Mi Refugio
323,Gigmoto,PH,83.66,overcast clouds,13.7796,124.39,Cj's Travellers Inn
327,San Patricio,US,86.72,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
329,Katobu,ID,80.74,broken clouds,-4.9408,122.5276,La Ode Husein
330,Nautla,MX,81.72,scattered clouds,20.2167,-96.7833,Casa Blanca
344,Bubaque,GW,78.71,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
349,Kuching,MY,77.22,few clouds,1.55,110.3333,Hilton Kuching
350,Kochi,IN,75.18,light rain,9.9399,76.2602,Trident Hotel Cochin
352,Kaffrine,SN,80.31,clear sky,14.1059,-15.5508,Beuleup counda motel
360,Ishigaki,JP,77.13,broken clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
361,Kalmunai,LK,79.14,overcast clouds,7.4167,81.8167,VS Villa
363,Eyl,SO,81.91,few clouds,7.9803,49.8164,Amiin Hotel
367,Natal,BR,79.02,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
372,Ixtapa,MX,80.22,broken clouds,20.7,-105.2,hotel la terminal
379,Segou,ML,88.12,few clouds,13.4317,-6.2157,Comme chez soi
380,Grand Gaube,MU,75.6,few clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
381,Takoradi,GH,79.93,overcast clouds,4.8845,-1.7554,Raybow International Hotel
384,Jodhpur,IN,84.27,clear sky,26.2867,73.03,"Umaid Bhawan Palace, Jodhpur"
390,Nizwa,OM,75.52,clear sky,22.9333,57.5333,Orient Apartments
391,Isangel,VU,77.94,overcast clouds,-19.55,169.2667,Tanna Lodge
395,Guane,CU,79.57,broken clouds,22.2025,-84.0875,base de Campismo LosPortales de Guane
396,Kununurra,AU,84.18,clear sky,-15.7667,128.7333,Hotel Kununurra
398,Jitra,MY,80.49,few clouds,6.2681,100.4217,Hotel Darulaman
400,Hobyo,SO,80.38,scattered clouds,5.3505,48.5268,Iftin hotel hobyo
401,Nicoya,CR,82.09,overcast clouds,10.1483,-85.452,Las Cabinas Del Sueño
404,Lake City,US,78.78,overcast clouds,30.1897,-82.6393,Ramada Limited Lake City
408,Vanimo,PG,84.33,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
413,Gorontalo,ID,79.74,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
416,Alyangula,AU,79.14,scattered clouds,-13.8483,136.4192,Groote Eylandt Lodge
421,Harper,LR,77.67,overcast clouds,4.375,-7.7169,Screensaver
423,Moussoro,TD,87.08,overcast clouds,13.6408,16.4901,Hôtel Salama
425,Fare,PF,80.71,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
431,Paciran,ID,81.27,overcast clouds,-6.8767,112.3761,Tanjung Kodok Beach Resort
434,Bangaon,IN,83.23,overcast clouds,23.0667,88.8167,Babai mondal home
444,Sao Jose Da Coroa Grande,BR,77.4,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
445,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
446,Gilbues,BR,79.16,overcast clouds,-9.8317,-45.3439,Hotel Camapuã
450,Itarema,BR,78.42,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
460,Porbandar,IN,82.47,clear sky,21.6422,69.6093,Lords Inn Porbandar
464,Pontian Kecil,MY,79.12,scattered clouds,1.4801,103.3899,SUNFLOWER EXPRESS HOTEL
467,Banamba,ML,86.68,broken clouds,13.55,-7.45,Kassela de Banamba
468,Uaua,BR,76.86,overcast clouds,-9.8414,-39.4817,Hotel Uauá
470,Carutapera,BR,77.38,light rain,-1.195,-46.02,Lidera
472,Nabire,ID,82.71,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
478,Cape Girardeau,US,83.79,few clouds,37.3834,-89.7168,Independence Park Mobile Home Court
489,Cedar City,US,79.77,clear sky,37.6775,-113.0619,Hampton Inn Cedar City
492,Metro,ID,77.36,broken clouds,-5.1131,105.3067,OYO 3177 Wisma Lintang
505,Dodge City,US,84.45,broken clouds,37.7528,-100.0171,Windsor Inn & Suites
506,Sinnamary,GF,78.35,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
516,Ankola,IN,81.25,overcast clouds,14.6667,74.3,Hotel Kamat Plus
518,Kismayo,SO,79.21,broken clouds,-0.3582,42.5454,Agan-Hotel
519,Manama,BH,82.35,clear sky,26.2154,50.5832,Al Safir Hotel
520,Douglas,US,80.42,clear sky,41.3,-96.167,Hilton Garden Inn Omaha West
521,Arlit,NE,86.31,broken clouds,18.7369,7.3853,Case de Passage De la Prefecture
526,Chiang Klang,TH,78.15,overcast clouds,19.2938,100.8617,Sangthong Resort
527,Mana,GF,78.12,overcast clouds,5.6592,-53.7767,LE SAMANA
530,Cam Ranh,VN,84.16,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
